City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,ritchie,-29.038,24.6028,18.56,66,74,4.95,ZA,1702232872
122,colonia,50.9333,6.95,10.32,82,75,6.69,DE,1702232872
123,amara,31.8406,47.1396,20.69,38,74,2.52,IQ,1702232872
124,talnakh,69.4865,88.3972,-28.22,99,100,3.9,RU,1702232872
125,mersa matruh,31.3525,27.2453,18.22,44,33,3.35,EG,1702232872
126,wenchang,30.904,118.4887,11.39,88,100,3.39,CN,1702232873
127,yellowknife,62.456,-114.3525,-10.33,98,100,6.69,CA,1702232873
128,scarborough,54.2797,-0.4044,8.14,90,100,3.13,GB,1702232873
129,verkhnevilyuysk,63.4453,120.3167,-27.93,96,100,3.22,RU,1702232873
130,karratha,-20.7377,116.8463,27.62,46,2,3.91,AU,1702232873
131,najran,17.4924,44.1277,15.36,32,32,1.3,SA,1702232873
132,mili,6.0815,171.735,27.75,83,82,7.76,MH,1702232873
133,fuling,29.7022,107.3919,15.03,94,97,0.86,CN,1702232874
134,callao,-12.0667,-77.15,23.16,64,20,5.66,PE,1702232874
135,anaconda,46.1285,-112.9423,1.55,78,98,2.96,US,1702232768
136,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,95,100,7.0,RU,1702232776
137,huron,41.1501,-82.5499,3.4,78,84,5.13,US,1702232874
138,new kingman-butler,35.265,-114.0323,11.77,10,0,4.12,US,1702232874
139,olonkinbyen,70.9221,-8.7187,-6.05,52,15,0.66,SJ,1702232874
140,margaret river,-33.95,115.0667,15.18,53,0,6.09,AU,1702232875
141,port saint john's,-31.6229,29.5448,17.94,86,100,2.24,ZA,1702232875
142,ust-nera,64.5667,143.2,-16.96,98,100,3.7,RU,1702232875
143,st. john's,47.5649,-52.7093,2.76,82,100,2.06,CA,1702232701
144,kayangel,8.0823,134.7173,28.48,78,92,7.2,PW,1702232875
145,hawaiian paradise park,19.5933,-154.9731,23.91,98,100,3.09,US,1702232718
146,iqaluit,63.7506,-68.5145,-5.15,85,100,4.63,CA,1702232876
147,ta`u,-14.2336,-169.5144,23.93,94,100,4.85,AS,1702232876
148,kruisfontein,-34.0033,24.7314,17.16,86,53,2.87,ZA,1702232876
149,vadso,70.0744,29.7487,-10.91,79,20,10.8,NO,1702232876
150,macau,22.2006,113.5461,23.89,94,40,2.57,MO,1702232876
151,balkanabat,39.5108,54.3671,12.17,50,54,0.68,TM,1702232877
152,arraial do cabo,-22.9661,-42.0278,25.92,61,75,7.2,BR,1702232877
153,tahara,34.6667,137.2667,13.35,68,79,1.9,JP,1702232877
154,buala,-8.145,159.5921,25.78,85,97,1.3,SB,1702232877
155,alpine,32.835,-116.7664,21.08,17,1,2.34,US,1702232877
156,aldinga beach,-35.2793,138.4604,17.92,92,100,12.97,AU,1702232877
157,katsuren-haebaru,26.3369,127.8719,22.21,83,20,2.57,JP,1702232877
158,lively,46.4334,-81.1498,3.34,92,76,3.1,CA,1702232878
159,yuzhno-kurilsk,44.0306,145.8556,0.76,76,85,9.01,RU,1702232878
160,hadithah,34.1397,42.3781,17.34,58,100,2.4,IQ,1702232878
161,happy valley-goose bay,53.3168,-60.3315,-0.83,59,75,8.75,CA,1702232878
162,tidjikja,18.5564,-11.4271,26.24,14,80,6.27,MR,1702232878
163,portage la prairie,49.9728,-98.2926,-6.61,68,57,1.38,CA,1702232878
164,prince rupert,54.3161,-130.3201,5.83,93,0,4.12,CA,1702232879
165,cannonvale,-20.2833,148.7,25.66,80,98,11.19,AU,1702232879
166,la'ie,21.6477,-157.9253,26.98,81,31,2.68,US,1702232879
167,alice springs,-23.7,133.8833,9.75,93,40,2.57,AU,1702232879
168,remire-montjoly,4.9167,-52.2667,31.02,66,75,4.63,GF,1702232879
169,mayqayyng,51.4625,75.7986,-24.45,94,44,1.8,KZ,1702232879
170,saint-pierre,-21.3393,55.4781,26.82,78,20,2.57,RE,1702232879
171,iskateley,67.6803,53.1512,-22.77,91,99,4.92,RU,1702232880
172,hajnowka,52.7433,23.5812,-2.77,93,100,0.89,PL,1702232880
173,ar ruseris,11.8659,34.3869,29.86,22,37,2.98,SD,1702232880
174,barra de santo antonio,-9.4047,-35.5072,30.6,59,96,4.46,BR,1702232880
175,gadzhiyevo,69.2551,33.3362,-10.79,84,100,8.78,RU,1702232880
176,choyr,46.3611,108.3611,-17.05,96,100,1.18,MN,1702232880
177,karachi,24.9056,67.0822,20.9,73,2,0.0,PK,1702232881
178,paita,-5.0892,-81.1144,25.1,68,19,6.14,PE,1702232881
179,thompson,55.7435,-97.8558,-15.91,85,75,2.06,CA,1702232881
180,valdivia,-39.8142,-73.2459,24.05,35,86,1.53,CL,1702232677
181,itaituba,-4.2761,-55.9836,33.09,58,40,2.57,BR,1702232881
182,enriquillo,17.9,-71.2333,31.82,71,1,7.88,DO,1702232881
183,ostersund,63.1792,14.6357,-3.55,93,100,6.17,SE,1702232882
184,belabo,4.9333,13.3,25.01,58,40,1.31,CM,1702232882
185,swakopmund,-22.6833,14.5333,17.47,79,52,1.34,NA,1702232882
186,la passe,45.5549,-0.8967,15.13,96,100,8.66,FR,1702232882
187,batticaloa,7.7102,81.6924,26.49,82,49,0.78,LK,1702232882
188,shortandy,51.7006,70.9994,-25.71,98,68,2.02,KZ,1702232883
189,anadyr,64.75,177.4833,-25.56,83,40,5.0,RU,1702232883
190,tual,-5.6667,132.75,28.78,75,100,6.25,ID,1702232883
191,port mathurin,-19.6833,63.4167,26.55,73,38,3.74,MU,1702232883
192,hithadhoo,-0.6,73.0833,28.01,73,86,0.85,MV,1702232883
193,sumbawa besar,-8.5,117.4333,24.41,93,91,1.18,ID,1702232884
194,lompoc,34.6391,-120.4579,19.96,45,0,3.09,US,1702232884
195,hassi messaoud,31.6804,6.0729,14.92,41,2,1.54,DZ,1702232884
